,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,
,,,,,
,,,,,
,SABOR (%), Vol (Rmill) ,,FX (%) ,Vol (Rmill)
"02-Nov-11,Wed",5.288," R 104,308 ",,5.544," R 7,436 "
"03-Nov-11,Thu",5.299," R 96,274 ",,5.549," R 6,494 "
"04-Nov-11,Fri",5.294," R 100,634 ",,5.603," R 8,439 "
"07-Nov-11,Mon",5.299," R 104,374 ",,5.597," R 8,475 "
"08-Nov-11,Tue",5.296," R 101,541 ",,5.522," R 11,220 "
"09-Nov-11,Wed",5.295," R 107,970 ",,5.528," R 11,879 "
"10-Nov-11,Thu",5.289," R 111,844 ",,5.485," R 12,892 "
"11-Nov-11,Fri",5.291," R 109,515 ",,,
"14-Nov-11,Mon",5.307," R 101,686 ",,5.671," R 16,022 "
"15-Nov-11,Tue",5.297," R 112,067 ",,5.643," R 14,848 "
"16-Nov-11,Wed",5.298," R 103,644 ",,5.541," R 16,500 "
"17-Nov-11,Thu",5.299," R 103,542 ",,5.509," R 14,324 "
"18-Nov-11,Fri",5.299," R 97,314 ",,5.500," R 6,665 "
"21-Nov-11,Mon",5.306," R 108,991 ",,5.552," R 5,687 "
"22-Nov-11,Tue",5.298," R 110,980 ",,5.566," R 8,712 "
"23-Nov-11,Wed",5.302," R 110,791 ",,5.591," R 5,814 "
"24-Nov-11,Thu",5.300," R 102,669 ",,,
"25-Nov-11,Fri",5.310," R 101,528 ",,5.714," R 7,176 "
"28-Nov-11,Mon",5.317," R 104,560 ",,5.820," R 5,913 "
"29-Nov-11,Tue",5.308," R 105,988 ",,5.722," R 6,004 "
"30-Nov-11,Wed",5.312," R 94,452 ",,6.064," R 4,971 "
"01-Dec-11,Thu",5.309," R 78,365 ",,5.882," R 9,400 "
"02-Dec-11,Fri",5.290," R 92,363 ",,5.500," R 3,100 "
"05-Dec-11,Mon",5.303," R 95,389 ",,5.673," R 5,210 "
"06-Dec-11,Tue",5.300," R 99,357 ",,5.527," R 1,498 "
"07-Dec-11,Wed",5.313," R 105,676 ",,5.672," R 3,258 "
"08-Dec-11,Thu",5.287," R 107,647 ",,5.730," R 2,274 "
"09-Dec-11,Fri",5.321," R 104,609 ",,5.900," R 1,997 "
"12-Dec-11,Mon",5.336," R 102,803 ",,6.127," R 2,623 "
"13-Dec-11,Tue",5.338," R 94,438 ",,6.150, R 953 
"14-Dec-11,Wed",5.340," R 101,353 ",,6.317," R 2,353 "
"15-Dec-11,Thu",5.291," R 99,598 ",,6.146," R 3,760 "
"16-Dec-11,Fri",5.291," R 99,598 ",,6.146," R 3,760 "
"19-Dec-11,Mon",5.407," R 93,013 ",,7.713," R 2,321 "
"20-Dec-11,Tue",5.457," R 91,662 ",,8.781," R 4,356 "
"21-Dec-11,Wed",5.382," R 97,496 ",,7.339," R 3,700 "
"22-Dec-11,Thu",5.318," R 93,629 ",,6.049," R 3,712 "
"23-Dec-11,Fri",5.338," R 97,330 ",,6.300," R 2,698 "
"26-Dec-11,Mon",5.338," R 97,330 ",,6.300," R 2,698 "
"27-Dec-11,Tue",5.338," R 97,330 ",,6.300," R 2,698 "
"28-Dec-11,Wed",5.291," R 98,012 ",,5.481," R 6,472 "
"29-Dec-11,Thu",5.448," R 96,870 ",,8.310," R 2,147 "
"30-Dec-11,Fri",5.345," R 98,606 ",,6.500," R 1,197 "
"02-Jan-12,Mon",5.345," R 98,606 ",,6.500," R 1,197 "
"03-Jan-12,Tue",5.521," R 91,243 ",,9.204," R 1,917 "
"04-Jan-12,Wed",5.531," R 96,834 ",,10.250," R 1,259 "
"05-Jan-12,Thu",5.308," R 95,674 ",,5.866," R 7,636 "
"06-Jan-12,Fri",5.315," R 97,510 ",,5.919," R 6,292 "
"09-Jan-12,Mon",5.306," R 97,175 ",,5.708," R 6,249 "
"10-Jan-12,Tue",5.303," R 97,094 ",,5.686," R 6,131 "
"11-Jan-12,Wed",5.303," R 99,015 ",,5.669," R 6,657 "
"12-Jan-12,Thu",5.293," R 102,625 ",,5.888," R 3,641 "
"13-Jan-12,Fri",5.293," R 107,861 ",,5.745," R 6,779 "
"16-Jan-12,Mon",5.267," R 117,846 ",,,
"17-Jan-12,Tue",5.294," R 100,743 ",,5.723," R 4,385 "
"18-Jan-12,Wed",5.286," R 103,522 ",,5.552," R 8,668 "
"19-Jan-12,Thu",5.304," R 95,077 ",,5.531," R 8,756 "
"20-Jan-12,Fri",5.311," R 97,851 ",,5.519," R 3,222 "
"23-Jan-12,Mon",5.312," R 95,480 ",,5.645," R 4,570 "
"24-Jan-12,Tue",5.320," R 95,374 ",,5.800," R 1,238 "
"25-Jan-12,Wed",5.301," R 98,284 ",,5.690," R 4,620 "
"26-Jan-12,Thu",5.299," R 95,554 ",,5.552," R 6,262 "
"27-Jan-12,Fri",5.304," R 97,312 ",,5.507," R 10,278 "
"30-Jan-12,Mon",5.305," R 92,835 ",,5.517," R 8,345 "
"31-Jan-12,Tue",5.295," R 88,020 ",,5.551," R 10,804 "
"01-Feb-12,Wed",5.283," R 96,194 ",,5.324," R 17,643 "
"02-Feb-12,Thu",5.288," R 98,336 ",,5.411," R 5,726 "
"03-Feb-12,Fri",5.292," R 99,181 ",,5.420," R 2,749 "
"06-Feb-12,Mon",5.282," R 100,378 ",,5.227," R 7,463 "
"07-Feb-12,Tue",5.279," R 102,281 ",,5.129," R 8,588 "
"08-Feb-12,Wed",5.254," R 104,574 ",,5.064," R 9,428 "
"09-Feb-12,Thu",5.266," R 102,452 ",,5.119," R 8,698 "
"10-Feb-12,Fri",5.268," R 98,508 ",,5.100," R 10,777 "
"13-Feb-12,Mon",5.256," R 100,899 ",,4.914," R 7,330 "
"14-Feb-12,Tue",5.264," R 105,117 ",,5.124," R 8,376 "
"15-Feb-12,Wed",5.262," R 107,557 ",,5.145," R 12,566 "
"16-Feb-12,Thu",5.269," R 106,979 ",,5.139," R 6,255 "
"17-Feb-12,Fri",5.285," R 111,172 ",,5.361," R 5,515 "
"20-Feb-12,Mon",5.288," R 111,306 ",,,
"21-Feb-12,Tue",5.288," R 106,215 ",,5.365," R 4,490 "
"22-Feb-12,Wed",5.285," R 106,114 ",,5.312," R 7,021 "
"23-Feb-12,Thu",5.285," R 104,866 ",,5.328," R 3,811 "
"24-Feb-12,Fri",5.281," R 103,480 ",,5.439," R 4,598 "
"27-Feb-12,Mon",5.301," R 97,530 ",,5.664," R 4,460 "
"28-Feb-12,Tue",5.300," R 91,097 ",,5.680," R 6,862 "
"29-Feb-12,Wed",5.298," R 86,056 ",,5.679," R 5,595 "
"01-Mar-12,Thu",5.290," R 89,710 ",,5.471," R 4,181 "
"02-Mar-12,Fri",5.298," R 93,801 ",,5.468," R 3,866 "
"05-Mar-12,Mon",5.347," R 91,152 ",,5.433," R 9,265 "
"06-Mar-12,Tue",5.284," R 96,179 ",,5.407," R 9,279 "
"07-Mar-12,Wed",5.280," R 90,289 ",,5.431," R 7,498 "
"08-Mar-12,Thu",5.295," R 84,365 ",,5.456," R 3,944 "
"09-Mar-12,Fri",5.303," R 82,742 ",,5.492," R 3,659 "
"12-Mar-12,Mon",5.295," R 96,601 ",,5.469," R 8,324 "
"13-Mar-12,Tue",5.291," R 101,040 ",,5.456," R 11,590 "
"14-Mar-12,Wed",5.286," R 101,428 ",,5.442," R 10,662 "
"15-Mar-12,Thu",5.282," R 106,721 ",,5.351," R 10,773 "
"16-Mar-12,Fri",5.277," R 101,679 ",,5.221," R 7,073 "
"19-Mar-12,Mon",5.277," R 98,620 ",,5.242," R 6,223 "
"20-Mar-12,Tue",5.286," R 93,711 ",,5.520," R 4,151 "
"21-Mar-12,Wed",5.286," R 93,711 ",,5.520," R 4,151 "
"22-Mar-12,Thu",5.276," R 99,399 ",,5.371," R 4,630 "
"23-Mar-12,Fri",5.271," R 101,205 ",,5.240," R 5,361 "
"26-Mar-12,Mon",5.257," R 101,549 ",,5.186," R 6,889 "
"27-Mar-12,Tue",5.263," R 96,060 ",,5.313," R 4,717 "
"28-Mar-12,Wed",5.254," R 97,853 ",,5.248," R 4,783 "
"29-Mar-12,Thu",5.270," R 100,555 ",,5.330," R 4,375 "
"30-Mar-12,Fri",5.278," R 96,173 ",,5.485," R 2,558 "
"02-Apr-12,Mon",5.301," R 95,430 ",,5.556," R 5,680 "
"03-Apr-12,Tue",5.295," R 100,195 ",,5.516," R 6,848 "
"04-Apr-12,Wed",5.286," R 95,290 ",,5.436," R 4,759 "
"05-Apr-12,Thu",5.289," R 95,961 ",,5.433," R 6,735 "
"06-Apr-12,Fri",5.289," R 95,961 ",,5.433," R 6,735 "
"09-Apr-12,Mon",5.289," R 95,961 ",,5.433," R 6,735 "
"10-Apr-12,Tue",5.271," R 108,616 ",,5.380," R 6,248 "
"11-Apr-12,Wed",5.271," R 105,267 ",,5.333," R 5,588 "
"12-Apr-12,Thu",5.280," R 104,451 ",,5.429," R 4,734 "
"13-Apr-12,Fri",5.277," R 99,463 ",,5.400," R 5,923 "
"16-Apr-12,Mon",5.281," R 98,661 ",,5.466," R 9,466 "
"17-Apr-12,Tue",5.280," R 99,702 ",,5.500," R 7,010 "
"18-Apr-12,Wed",5.275," R 91,224 ",,5.500," R 4,565 "
"19-Apr-12,Thu",5.291," R 99,034 ",,5.535," R 2,910 "
"20-Apr-12,Fri",5.271," R 102,498 ",,5.375," R 3,388 "
"23-Apr-12,Mon",5.259," R 108,692 ",,5.328," R 5,536 "
"24-Apr-12,Tue",5.288," R 99,027 ",,5.508," R 7,234 "
"25-Apr-12,Wed",5.279," R 100,899 ",,5.487," R 5,235 "
"26-Apr-12,Thu",5.283," R 91,384 ",,5.490," R 5,334 "
"27-Apr-12,Fri",5.283," R 91,384 ",,5.490," R 5,334 "
"30-Apr-12,Mon",5.283," R 95,816 ",,5.508," R 6,136 "
"01-May-12,Tue",5.283," R 95,816 ",,5.508," R 6,136 "
"02-May-12,Wed",5.289," R 92,602 ",,5.525," R 4,452 "
"03-May-12,Thu",5.283," R 96,586 ",,5.461," R 7,307 "
"04-May-12,Fri",5.275," R 100,536 ",,5.456," R 7,838 "
"07-May-12,Mon",5.283," R 97,150 ",,5.443," R 4,917 "
"08-May-12,Tue",5.283," R 97,334 ",,5.493," R 5,725 "
"09-May-12,Wed",5.287," R 97,170 ",,5.493," R 5,704 "
"10-May-12,Thu",5.283," R 96,451 ",,5.428," R 6,997 "
"11-May-12,Fri",5.276," R 104,079 ",,5.424," R 7,420 "
"14-May-12,Mon",5.273," R 106,852 ",,5.475," R 4,416 "
"15-May-12,Tue",5.289," R 103,466 ",,5.507," R 2,042 "
"16-May-12,Wed",5.290," R 101,066 ",,5.617," R 3,225 "
"17-May-12,Thu",5.293," R 101,085 ",,5.540," R 4,817 "
"18-May-12,Fri",5.297," R 104,361 ",,5.644," R 5,704 "
"21-May-12,Mon",5.295," R 101,883 ",,5.645," R 6,004 "
"22-May-12,Tue",5.306," R 96,364 ",,5.606," R 3,508 "
"23-May-12,Wed",5.292," R 98,067 ",,5.595," R 3,932 "
"24-May-12,Thu",5.304," R 89,280 ",,5.630," R 2,278 "
"25-May-12,Fri",5.287," R 96,608 ",,5.660," R 11,201 "
"28-May-12,Mon",5.277," R 98,425 ",,,
"29-May-12,Tue",5.289," R 95,100 ",,5.580, R 649 
"30-May-12,Wed",5.273," R 92,557 ",,5.550, R 543 
"31-May-12,Thu",5.281," R 88,937 ",,5.526," R 3,360 "
"01-Jun-12,Fri",5.292," R 89,178 ",,5.516," R 3,633 "
"04-Jun-12,Mon",5.286," R 98,184 ",,5.477," R 3,552 "
"05-Jun-12,Tue",5.289," R 91,787 ",,5.473," R 3,397 "
"06-Jun-12,Wed",5.281," R 97,236 ",,5.544," R 3,456 "
"07-Jun-12,Thu",5.289," R 93,910 ",,5.583," R 4,184 "
"08-Jun-12,Fri",5.295," R 92,705 ",,5.574," R 6,659 "
"11-Jun-12,Mon",5.307," R 94,163 ",,5.642," R 5,314 "
"12-Jun-12,Tue",5.303," R 96,129 ",,5.620," R 1,895 "
"13-Jun-12,Wed",5.303," R 98,499 ",,5.593," R 8,810 "
"14-Jun-12,Thu",5.289," R 87,663 ",,5.660," R 4,277 "
"15-Jun-12,Fri",5.288," R 99,174 ",,5.651," R 4,491 "
"18-Jun-12,Mon",5.302," R 94,921 ",,5.624," R 4,730 "
"19-Jun-12,Tue",5.284," R 99,779 ",,5.624," R 3,958 "
"20-Jun-12,Wed",5.288," R 99,851 ",,5.622," R 5,764 "
"21-Jun-12,Thu",5.301," R 92,782 ",,5.614," R 7,498 "
"22-Jun-12,Fri",5.296," R 93,065 ",,5.552," R 8,032 "
"25-Jun-12,Mon",5.290," R 93,798 ",,5.610," R 5,874 "
"26-Jun-12,Tue",5.284," R 98,408 ",,5.635," R 5,320 "
"27-Jun-12,Wed",5.295," R 95,124 ",,5.628," R 4,115 "
"28-Jun-12,Thu",5.293," R 91,126 ",,5.634," R 4,290 "
"29-Jun-12,Fri",5.295," R 80,682 ",,5.677," R 3,185 "
"02-Jul-12,Mon",5.300," R 87,551 ",,5.774," R 5,622 "
"03-Jul-12,Tue",5.300," R 87,278 ",,5.664," R 6,170 "
"04-Jul-12,Wed",5.305," R 86,746 ",,,
"05-Jul-12,Thu",5.305," R 86,507 ",,5.700," R 1,309 "
"06-Jul-12,Fri",5.292," R 93,645 ",,5.575," R 3,132 "
"09-Jul-12,Mon",5.284," R 100,393 ",,5.639," R 3,126 "
"10-Jul-12,Tue",5.285," R 98,061 ",,5.585," R 2,355 "
"11-Jul-12,Wed",5.287," R 99,406 ",,5.616," R 3,987 "
"12-Jul-12,Thu",5.287," R 95,241 ",,5.650," R 1,068 "
"13-Jul-12,Fri",5.287," R 98,828 ",,5.680," R 1,190 "
"16-Jul-12,Mon",5.281," R 98,057 ",,5.705," R 8,621 "
"17-Jul-12,Tue",5.293," R 103,397 ",,5.549," R 2,558 "
"18-Jul-12,Wed",5.299," R 97,129 ",,5.650," R 2,787 "
"19-Jul-12,Thu",4.840," R 93,405 ",,5.650, R 717 
"20-Jul-12,Fri",4.842," R 82,010 ",,5.103," R 9,902 "
"23-Jul-12,Mon",4.827," R 85,463 ",,5.114," R 12,429 "
"24-Jul-12,Tue",4.813," R 81,958 ",,5.087," R 16,784 "
"25-Jul-12,Wed",4.813," R 87,132 ",,5.109," R 9,360 "
"26-Jul-12,Thu",4.816," R 82,248 ",,5.082," R 10,020 "
"27-Jul-12,Fri",4.801," R 89,167 ",,5.216," R 7,072 "
"30-Jul-12,Mon",4.851," R 74,517 ",,5.338," R 12,154 "
"31-Jul-12,Tue",4.820," R 76,026 ",,5.157," R 11,805 "
"01-Aug-12,Wed",4.812," R 81,562 ",,5.144," R 9,007 "
"02-Aug-12,Thu",4.801," R 85,755 ",,5.035," R 13,303 "
"03-Aug-12,Fri",4.830," R 85,083 ",,5.057," R 8,306 "
"06-Aug-12,Mon",4.828," R 92,351 ",,5.262," R 3,271 "
"07-Aug-12,Tue",4.839," R 88,137 ",,5.331," R 3,215 "
"08-Aug-12,Wed",4.841," R 84,034 ",,5.327," R 3,739 "
"09-Aug-12,Thu",4.841," R 84,034 ",,5.327," R 3,739 "
"10-Aug-12,Fri",4.813," R 87,642 ",,5.271," R 5,577 "
"13-Aug-12,Mon",4.797," R 94,584 ",,5.087," R 5,391 "
"14-Aug-12,Tue",4.796," R 90,487 ",,5.052," R 6,316 "
"15-Aug-12,Wed",4.767," R 105,091 ",,4.994," R 12,406 "
"16-Aug-12,Thu",4.779," R 104,795 ",,5.049," R 7,446 "
"17-Aug-12,Fri",4.794," R 94,374 ",,4.820," R 7,014 "
"20-Aug-12,Mon",4.821," R 93,125 ",,5.015," R 2,614 "
"21-Aug-12,Tue",4.820," R 92,389 ",,5.036," R 5,924 "
"22-Aug-12,Wed",4.824," R 95,558 ",,5.073," R 2,341 "
"23-Aug-12,Thu",4.818," R 92,415 ",,4.958," R 1,050 "
"24-Aug-12,Fri",4.824," R 98,858 ",,5.082, R 652 
"27-Aug-12,Mon",4.826," R 91,330 ",,5.045," R 2,574 "
"28-Aug-12,Tue",4.806," R 92,225 ",,5.019," R 4,169 "
"29-Aug-12,Wed",4.809," R 91,189 ",,5.039," R 3,766 "
"30-Aug-12,Thu",4.808," R 88,489 ",,5.074," R 2,877 "
"31-Aug-12,Fri",4.806," R 87,126 ",,5.139," R 5,840 "
"03-Sep-12,Mon",4.800," R 94,044 ",,,
"04-Sep-12,Tue",4.793," R 90,764 ",,5.071," R 1,161 "
"05-Sep-12,Wed",4.776," R 93,529 ",,5.059," R 3,043 "
"06-Sep-12,Thu",4.783," R 90,812 ",,5.150," R 3,142 "
"07-Sep-12,Fri",4.780," R 98,751 ",,5.186," R 4,736 "
"10-Sep-12,Mon",4.787," R 92,803 ",,5.119," R 5,761 "
"11-Sep-12,Tue",4.779," R 98,235 ",,4.999," R 3,055 "
"12-Sep-12,Wed",4.782," R 100,634 ",,5.079," R 3,635 "
"13-Sep-12,Thu",4.793," R 98,485 ",,5.001," R 9,735 "
"14-Sep-12,Fri",4.782," R 98,215 ",,5.042," R 6,639 "
"17-Sep-12,Mon",4.797," R 92,839 ",,5.073," R 6,742 "
"18-Sep-12,Tue",4.761," R 90,670 ",,4.498," R 6,294 "
"19-Sep-12,Wed",4.805," R 86,278 ",,5.043," R 6,744 "
"20-Sep-12,Thu",4.776," R 88,851 ",,5.017," R 6,134 "
"21-Sep-12,Fri",4.808," R 90,511 ",,4.911," R 3,681 "
"24-Sep-12,Mon",4.808," R 90,511 ",,4.911," R 3,681 "
"25-Sep-12,Tue",4.804," R 89,728 ",,4.869," R 5,900 "
"26-Sep-12,Wed",4.811," R 87,074 ",,5.001," R 8,283 "
"27-Sep-12,Thu",4.799," R 89,423 ",,4.991," R 12,096 "
"28-Sep-12,Fri",4.822," R 74,411 ",,5.200," R 3,293 "
"01-Oct-12,Mon",4.802," R 76,456 ",,5.052," R 10,011 "
"02-Oct-12,Tue",4.807," R 78,664 ",,5.080," R 2,490 "
"03-Oct-12,Wed",4.814," R 84,278 ",,5.098," R 3,780 "
"04-Oct-12,Thu",4.826," R 83,820 ",,5.244," R 3,197 "
"05-Oct-12,Fri",4.809," R 91,577 ",,5.198," R 1,031 "
"08-Oct-12,Mon",4.788," R 92,221 ",,,
"09-Oct-12,Tue",4.798," R 88,349 ",,5.407," R 4,491 "
"10-Oct-12,Wed",4.790," R 82,769 ",,5.013," R 3,816 "
"11-Oct-12,Thu",4.785," R 90,321 ",,5.010," R 3,347 "
"12-Oct-12,Fri",4.777," R 90,733 ",,5.038," R 3,182 "
"15-Oct-12,Mon",4.776," R 92,164 ",,5.047," R 3,281 "
"16-Oct-12,Tue",4.767," R 93,508 ",,5.017," R 3,340 "
"17-Oct-12,Wed",4.769," R 91,962 ",,4.905," R 2,021 "
"18-Oct-12,Thu",4.790," R 86,487 ",,4.960," R 3,590 "
"19-Oct-12,Fri",4.778," R 88,534 ",,4.921," R 4,793 "
"22-Oct-12,Mon",4.782," R 84,328 ",,4.958," R 4,407 "
"23-Oct-12,Tue",4.782," R 87,246 ",,4.972," R 5,319 "
"24-Oct-12,Wed",4.778," R 78,962 ",,4.980," R 4,313 "
"25-Oct-12,Thu",4.766," R 77,705 ",,4.979," R 3,523 "
"26-Oct-12,Fri",4.725," R 73,640 ",,5.050," R 1,229 "
"29-Oct-12,Mon",4.776," R 76,630 ",,5.105," R 3,385 "
"30-Oct-12,Tue",4.773," R 78,190 ",,5.122," R 1,698 "
"31-Oct-12,Wed",4.775," R 81,122 ",,5.213," R 7,472 "
"01-Nov-12,Thu",4.762," R 78,472 ",,5.009," R 7,709 "
"02-Nov-12,Fri",4.778," R 76,782 ",,4.957," R 6,003 "
"05-Nov-12,Mon",4.781," R 78,442 ",,4.991," R 3,206 "
"06-Nov-12,Tue",4.783," R 79,286 ",,4.999," R 2,204 "
"07-Nov-12,Wed",4.752," R 66,103 ",,4.968," R 6,249 "
"08-Nov-12,Thu",4.765," R 83,111 ",,4.932," R 4,241 "
"09-Nov-12,Fri",4.772," R 84,385 ",,4.940," R 2,082 "
"12-Nov-12,Mon",4.784," R 82,979 ",,,
"13-Nov-12,Tue",4.777," R 77,958 ",,5.050," R 1,955 "
"14-Nov-12,Wed",4.795," R 77,131 ",,5.050," R 3,304 "
"15-Nov-12,Thu",4.788," R 77,128 ",,4.948," R 1,800 "
"16-Nov-12,Fri",4.787," R 82,760 ",,5.082," R 1,232 "
"19-Nov-12,Mon",4.792," R 81,932 ",,5.086," R 4,853 "
"20-Nov-12,Tue",4.794," R 84,573 ",,5.050, R 884 
"21-Nov-12,Wed",4.778," R 88,937 ",,4.807," R 10,471 "
"22-Nov-12,Thu",4.771," R 82,661 ",,,
"23-Nov-12,Fri",4.795," R 77,900 ",,5.021," R 5,999 "
"26-Nov-12,Mon",4.806," R 85,298 ",,5.168," R 6,446 "
"27-Nov-12,Tue",4.808," R 83,880 ",,5.218," R 10,541 "
"28-Nov-12,Wed",4.799," R 76,685 ",,5.109," R 5,724 "
"29-Nov-12,Thu",4.780," R 78,196 ",,4.995," R 3,960 "
"30-Nov-12,Fri",4.774," R 82,929 ",,4.996," R 6,813 "
"03-Dec-12,Mon",4.776," R 83,564 ",,4.932," R 10,213 "
"04-Dec-12,Tue",4.781," R 87,690 ",,4.900," R 11,064 "
"05-Dec-12,Wed",4.782," R 82,268 ",,4.872," R 16,171 "
"06-Dec-12,Thu",4.777," R 80,640 ",,4.883," R 14,452 "
"07-Dec-12,Fri",4.771," R 64,674 ",,5.003," R 12,830 "
"10-Dec-12,Mon",4.785," R 77,325 ",,5.090," R 7,212 "
"11-Dec-12,Tue",4.779," R 80,118 ",,5.080," R 3,010 "
"12-Dec-12,Wed",4.777," R 77,795 ",,5.038," R 3,335 "
"13-Dec-12,Thu",4.776," R 81,260 ",,4.941," R 8,862 "
"14-Dec-12,Fri",4.769," R 79,644 ",,4.932," R 15,588 "
"17-Dec-12,Mon",4.769," R 79,644 ",,4.932," R 15,588 "
"18-Dec-12,Tue",4.776," R 80,145 ",,4.967," R 5,275 "
"19-Dec-12,Wed",4.765," R 83,481 ",,4.889," R 10,955 "
"20-Dec-12,Thu",4.763," R 82,976 ",,4.865," R 10,497 "
"21-Dec-12,Fri",4.762," R 86,295 ",,4.897," R 7,919 "
"24-Dec-12,Mon",4.759," R 92,861 ",,4.900," R 15,843 "
"25-Dec-12,Tue",4.759," R 92,861 ",,4.900," R 15,843 "
"26-Dec-12,Wed",4.759," R 92,861 ",,4.900," R 15,843 "
"27-Dec-12,Thu",4.768," R 95,109 ",,5.015," R 20,032 "
"28-Dec-12,Fri",4.760," R 88,633 ",,5.056," R 14,726 "
"31-Dec-12,Mon",4.893," R 81,067 ",,5.005," R 16,932 "
"01-Jan-13,Tue",4.747," R 81,067 ",,5.005," R 16,932 "
"02-Jan-13,Wed",4.748," R 85,508 ",,4.978," R 18,561 "
"03-Jan-13,Thu",4.751," R 84,343 ",,4.894," R 18,197 "
"04-Jan-13,Fri",4.769," R 79,692 ",,4.930," R 12,424 "
"07-Jan-13,Mon",4.779," R 80,832 ",,4.944," R 5,514 "
"08-Jan-13,Tue",4.758," R 78,716 ",,4.882," R 6,479 "
"09-Jan-13,Wed",4.757," R 77,697 ",,4.839," R 10,032 "
"10-Jan-13,Thu",4.752," R 74,241 ",,4.774," R 7,017 "
"11-Jan-13,Fri",4.754," R 79,837 ",,4.829," R 9,551 "
"14-Jan-13,Mon",4.756," R 89,583 ",,4.864," R 7,044 "
"15-Jan-13,Tue",4.747," R 81,431 ",,4.931," R 3,656 "
"16-Jan-13,Wed",4.749," R 78,213 ",,4.865," R 6,992 "
"17-Jan-13,Thu",4.767," R 82,505 ",,4.990," R 9,094 "
"18-Jan-13,Fri",4.754," R 78,842 ",,4.937," R 7,545 "
"21-Jan-13,Mon",4.740," R 84,130 ",,,
"22-Jan-13,Tue",4.749," R 88,157 ",,5.056," R 2,594 "
"23-Jan-13,Wed",4.748," R 91,761 ",,4.962," R 10,617 "
"24-Jan-13,Thu",4.739," R 87,671 ",,4.977," R 7,131 "
"25-Jan-13,Fri",4.723," R 91,832 ",,4.960," R 12,920 "
"28-Jan-13,Mon",4.738," R 88,860 ",,4.964," R 9,498 "
"29-Jan-13,Tue",4.733," R 88,243 ",,4.977," R 11,245 "
"30-Jan-13,Wed",4.745," R 83,429 ",,5.004," R 11,068 "
"31-Jan-13,Thu",4.744," R 78,726 ",,5.108," R 10,056 "
"01-Feb-13,Fri",4.736," R 82,153 ",,5.026," R 15,361 "
"04-Feb-13,Mon",4.742," R 85,599 ",,5.017," R 10,465 "
"05-Feb-13,Tue",4.750," R 86,503 ",,5.089," R 10,317 "
"06-Feb-13,Wed",4.752," R 88,706 ",,5.098," R 15,677 "
"07-Feb-13,Thu",4.749," R 85,104 ",,4.984," R 7,975 "
"08-Feb-13,Fri",4.750," R 85,432 ",,4.927," R 10,213 "
"11-Feb-13,Mon",4.745," R 86,615 ",,5.000," R 12,638 "
"12-Feb-13,Tue",4.747," R 85,301 ",,4.993," R 9,022 "
"13-Feb-13,Wed",4.747," R 85,938 ",,5.000," R 8,339 "
"14-Feb-13,Thu",4.751," R 79,808 ",,5.027," R 12,003 "
"15-Feb-13,Fri",4.745," R 80,354 ",,5.040," R 11,238 "
"18-Feb-13,Mon",4.748," R 82,374 ",,5.020," R 6,596 "
"19-Feb-13,Tue",4.749," R 83,457 ",,5.061," R 10,500 "
"20-Feb-13,Wed",4.755," R 78,856 ",,5.052," R 9,248 "
"21-Feb-13,Thu",4.747," R 64,955 ",,5.052," R 9,913 "
"22-Feb-13,Fri",4.745," R 64,991 ",,5.004," R 6,648 "
"25-Feb-13,Mon",4.736," R 65,508 ",,5.033," R 6,226 "
"26-Feb-13,Tue",4.725," R 64,327 ",,5.044," R 7,908 "
"27-Feb-13,Wed",4.717," R 64,338 ",,5.036," R 8,870 "
"28-Feb-13,Thu",4.726," R 67,594 ",,5.076," R 8,805 "
"01-Mar-13,Fri",4.741," R 65,920 ",,5.051," R 8,396 "
"04-Mar-13,Mon",4.723," R 65,562 ",,5.026," R 10,196 "
"05-Mar-13,Tue",4.744," R 68,108 ",,5.076," R 14,877 "
"06-Mar-13,Wed",4.769," R 66,579 ",,4.917," R 13,897 "
"07-Mar-13,Thu",4.771," R 67,743 ",,4.935," R 10,307 "
"08-Mar-13,Fri",4.771," R 72,126 ",,5.000," R 1,293 "
"11-Mar-13,Mon",4.781," R 71,889 ",,5.000," R 7,712 "
"12-Mar-13,Tue",4.772," R 70,970 ",,4.962," R 7,817 "
"13-Mar-13,Wed",4.780," R 71,996 ",,4.968," R 6,670 "
"14-Mar-13,Thu",4.783," R 64,257 ",,5.006," R 6,415 "
"15-Mar-13,Fri",4.783," R 71,667 ",,5.050," R 2,710 "
"18-Mar-13,Mon",4.781," R 72,929 ",,4.961," R 18,404 "
"19-Mar-13,Tue",4.778," R 73,445 ",,4.996," R 11,521 "
"20-Mar-13,Wed",4.770," R 74,761 ",,4.917," R 15,730 "
"21-Mar-13,Thu",4.770," R 74,761 ",,4.917," R 15,730 "
"22-Mar-13,Fri",4.771," R 81,350 ",,4.942," R 18,334 "
"25-Mar-13,Mon",4.770," R 76,565 ",,4.984," R 9,163 "
"26-Mar-13,Tue",4.770," R 77,352 ",,4.990," R 11,262 "
"27-Mar-13,Wed",4.761," R 80,002 ",,5.012," R 12,839 "
"28-Mar-13,Thu",4.735," R 70,477 ",,4.987," R 12,437 "
"29-Mar-13,Fri",4.735," R 70,477 ",,4.987," R 12,437 "
"01-Apr-13,Mon",4.735," R 70,477 ",,4.987," R 12,437 "
